Title,Location,Company,Rating,Description
Machine Learning Internship,Bengaluru,TechCiti Technologies Pvt.Ltd., 3.2,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Machine Learning Engineer,Noida,Magic Software, 3.5,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Machine Learning,Gurgaon,AgNext, 3.5,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
MACHINE LEARNING ENGINEER,Bengaluru,Neva Ventures, 4.3,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Machine Learning Engineer,Bengaluru,Cargill, 3.8,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Machine Learning Scientist,New Delhi,hike, 4.4,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Machine Learning Applied Research Scientist Search & Sensei Team,Noida,Adobe, 4.2,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
"SDE - Machine Learning, Traffic Quality",Bengaluru,Amazon, 4.1,"Description:  About us:  Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.  Behind one of the worlds best loved brands is a uniquely capable and brilliant team ofdata scientists, engineers and analysts. The Target Data Science & Analytics team creates thetools and data productsto sustainably educate and enable our business partners to make greatdata-based decisions. We help develop the technology that personalizes the guest experience, fromproduct recommendationsto relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (IOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measureor A/B testopportunitiesthat continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.  A role withData Science and Analytics (DSA) means beinga partof the team that works closely with the business and identifies problems / opportunities for improved decision-making through better data analysis. This covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics, using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms. The emphasis is on actionable insights, which is possible through a combination of technical skills and business understanding.  As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap. Based on this understanding, you are expected to identify appropriate metrics that will drive the right decisions for the business, and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion. You will also answer ad-hoc questions from your business users by conducting quick analysis on relevant data, identify trends and correlations, and form hypotheses to explain the observations. Some of these will lead to bigger analytical projects of increasing complexity, where you will work initially as a part of a bigger team, but also work independently as you gain more experience. Finally, you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation, code versioning, etc.  Core responsibilities are described within this job description. Job duties may change at any time due to business needs.  About You: B.Tech / B.E. or equivalent experience 1+ years of relevant experience Hands-on experience in analytics / data science Understanding of foundational mathematics and statistics Conceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc. Basic SQL skills Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise Exposure to R, Python, Hive, or other open source languages preferable Big data experience preferable Qualifications:"
Machine Learning Engineer,Bengaluru,Paytm, 3.6,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
HP Labs Senior Machine Learning Research Scientist,Bengaluru,HP Inc., 4.1,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Machine Learning Engineer,Pune,Foghorn Systems,None,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Machine Learning,Bengaluru,3d-ip semiconductors,None,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Machine Learning Engineer,Bengaluru,Ignitarium Technology Solutions, 4.6,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Developer Technology Engineer - AI,Bengaluru,NVIDIA, 4.4,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Machine Learning,New Delhi,Chariot Tech, 4.7,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Machine Learning,Ahmedabad,Technostacks, 5.0,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Machine Learning Engineer,Bengaluru,Johnson Controls,None,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Software Intern,Hyderabad,Apple, 4.6,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Data Scientist,Bengaluru,Intuit, 4.1,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Machine Learning Researcher,Gurgaon,OYO Rooms, 3.5,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Machine Learning,Pune,Zensar Technologies, 3.5,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Machine Learning Engineer,Bengaluru,GO-JEK, 4.0,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
Machine Learning Engineer,Chennai,Mad Street Den, 4.5,"Skills Proficiency using R / Python for predictive modelling, pattern recognition, and algorithm prototyping. Can apply probability models and machine learning approaches to solving complex problems Adept at data manipulation, transformation, and decomposition Identify key variables, parameters and elements defining a problem or its solution. Can distill highly technical knowledge and techniques to collaborators outside the problem domain. Java and/or Scala programming is a plus Experience Previous exposure to (i) Large datasets with low to mid level analytical complexity (ii) Small datasets with high analytical complexity (iii) Data structures containing complex relationship patterns (iv) Data with low signal to noise (v) Unstructured Data Algorithm development with application to solving human problems. Previous involvement in software development and/or distributed computing projects is a plus Background Advanced Degree or equivalent experience with a focus in one or more areas involving Mathematics, Physics, Computer Science, Probability Modelling, Machine Learning, Algorithm Design, Computational Finance, or Bioinformatics Background in mobile or e-commerce data is a plus"
